Designator,Mid X,Mid Y,Rotation,Layer
R1,141.25,-108.25,270.0,top
R2,124.25,-108.25,270.0,top
R3,107.75,-108.25,270.0,top
R4,90.65,-108.05,270.0,top
U1,124.3625,-119.62,0.0,bottom
